url,experience,work_format,salary,employment_type,skills
https://hh.ru/vacancy/119787194?query=ML&hhtmFrom=vacancy_search_list,1–3 года,Формат работы: удалённо,Уровень дохода не указан,Полная занятость,"Python, SQL"
https://hh.ru/vacancy/118461834?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: на месте работодателя или удалённо,Уровень дохода не указан,Полная занятость,"LLM, Whisper, RAG"
https://hh.ru/vacancy/119556856?query=ML&hhtmFrom=vacancy_search_list,1–3 года,Формат работы: удалённо,до 300 000 ₽ за месяц до вычета налогов,Полная занятость,"Python, Deep Learning, Natural Language Processing, Docker"
https://hh.ru/vacancy/120292397?query=ML&hhtmFrom=vacancy_search_list,1–3 года,,Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/119779124?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,,Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/120288713?query=ML&hhtmFrom=vacancy_search_list,1–3 года,Формат работы: гибрид,Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/119249003?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо,Уровень дохода не указан,Полная занятость,Английский — B2 — Средне-продвинутый
https://hh.ru/vacancy/119249004?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо,Уровень дохода не указан,Полная занятость,Английский — B2 — Средне-продвинутый
https://hh.ru/vacancy/118354560?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо или гибрид,Уровень дохода не указан,Полная занятость,"Deep Learning, NLP, PyTorch, RecSys, LLM"
https://hh.ru/vacancy/120031342?query=ML&hhtmFrom=vacancy_search_list,не требуется,"Формат работы: на месте работодателя, удалённо или гибрид",Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/118019728?query=ML&hhtmFrom=vacancy_search_list,1–3 года,,Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/120337638?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо,до 150 000 ₽ за месяц до вычета налогов,Полная занятостьВозможно временное оформление,
https://hh.ru/vacancy/120297203?query=ML&hhtmFrom=vacancy_search_list,не требуется,Формат работы: гибрид,от 32 500 до 65 000 ₽ за месяц до вычета налогов,Полная занятостьСтажировка,
https://hh.ru/vacancy/119787843?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо,до 5 000 $ за месяц на руки,Полная занятость,"Python, Time Series Analysis, Big Data"
https://hh.ru/vacancy/119787843?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо,до 5 000 $ за месяц на руки,Полная занятость,"Python, Time Series Analysis, Big Data"
https://hh.ru/vacancy/119787843?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо,до 5 000 $ за месяц на руки,Полная занятость,"Python, Time Series Analysis, Big Data"
https://hh.ru/vacancy/111417147?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,,Уровень дохода не указан,Полная занятость,"Python, SQL, ML, pandas, Scikit-learn, CatBoost, PyTorch, Greenplum, Trino, Hadoop, PySpark, Apache Hive, Apache Airflow, MLflow, JupyterHub, k8s, Анализ данных, Data Science"
https://hh.ru/vacancy/118305216?query=ML&hhtmFrom=vacancy_search_list,1–3 года,,Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/120319529?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо,Уровень дохода не указан,Частичная занятостьВозможно временное оформление,
https://hh.ru/vacancy/120039530?query=ML&hhtmFrom=vacancy_search_list,1–3 года,Формат работы: удалённо,от 120 000 ₽ за месяц до вычета налогов,Полная занятость,
https://hh.ru/vacancy/119943748?query=ML&hhtmFrom=vacancy_search_list,1–3 года,,Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/119750151?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: гибрид,Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/120132782?query=ML&hhtmFrom=vacancy_search_list,1–3 года,Формат работы: на месте работодателя,Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/119932888?query=ML&hhtmFrom=vacancy_search_list,1–3 года,Формат работы: на месте работодателя,от 85 000 до 110 000 ₽ за месяц на руки,Полная занятость,
https://hh.ru/vacancy/119349241?query=ML&hhtmFrom=vacancy_search_list,1–3 года,Формат работы: удалённо,Уровень дохода не указан,Полная занятость,"ML, Python"
https://hh.ru/vacancy/119311448?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо или гибрид,от 300 000 ₽ за месяц на руки,Полная занятость,
https://hh.ru/vacancy/116910628?query=ML&hhtmFrom=vacancy_search_list,1–3 года,Формат работы: на месте работодателя,Уровень дохода не указан,Полная занятость,"Python, MLflow, PostgreSQL, Impala, HDFS, NLP, TensorFlow, Keras, PyTorch, Hugging Face, DVC, Git"
https://hh.ru/vacancy/120293688?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,,Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/119440305?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: гибрид,Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/120314721?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: на месте работодателя,Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/119864814?query=ML&hhtmFrom=vacancy_search_list,1–3 года,Формат работы: на месте работодателя,от 80 000 до 150 000 ₽ за месяц на руки,Полная занятостьВозможно временное оформление,"Python, Нейронные сети, ML"
https://hh.ru/vacancy/117349363?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,,Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/120212223?query=ML&hhtmFrom=vacancy_search_list,1–3 года,Формат работы: удалённо или гибрид,до 130 000 ₽ за месяц на руки,Полная занятостьВозможно временное оформление,Английский — B1 — Средний
https://hh.ru/vacancy/119431242?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо,Уровень дохода не указан,Полная занятость,"NLP, Python, ML, PyTorch, LLM, FastAPI, RAG"
https://hh.ru/vacancy/119619448?query=ML&hhtmFrom=vacancy_search_list,более 6 лет,Формат работы: на месте работодателя,Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/118310517?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо,Уровень дохода не указан,Полная занятость,"Python, SQL, pandas, Numpy, Matplotlib, sklearn, NLTK, pymorphy, spacy, natasha"
https://hh.ru/vacancy/118310517?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо,Уровень дохода не указан,Полная занятость,"Python, SQL, pandas, Numpy, Matplotlib, sklearn, NLTK, pymorphy, spacy, natasha"
https://hh.ru/vacancy/120261627?query=ML&hhtmFrom=vacancy_search_list,1–3 года,Формат работы: удалённо или гибрид,Уровень дохода не указан,Полная занятость,"ML, Python, MS SQL"
https://hh.ru/vacancy/119359952?query=ML&hhtmFrom=vacancy_search_list,1–3 года,"Формат работы: на месте работодателя, удалённо или гибрид",Уровень дохода не указан,Полная занятость,"Python, NLP, Hadoop, Machine Learning, pandas, Numpy, Docker"
https://hh.ru/vacancy/117284077?query=ML&hhtmFrom=vacancy_search_list,1–3 года,Формат работы: на месте работодателя,Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/119442940?query=ML&hhtmFrom=vacancy_search_list,1–3 года,,Уровень дохода не указан,Полная занятость,"Python, Работа с базами данных"
https://hh.ru/vacancy/120238406?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: на месте работодателя,Уровень дохода не указан,Полная занятость,"ASR, STT, VAD, PyTorch, MATLAB, TensorFlow, Python, C++, C, Английский — B2 — Средне-продвинутый"
https://hh.ru/vacancy/120231061?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: на месте работодателя или удалённо,Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/120281642?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: на месте работодателя,Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/120280760?query=ML&hhtmFrom=vacancy_search_list,1–3 года,Формат работы: на месте работодателя,Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/120280731?query=ML&hhtmFrom=vacancy_search_list,1–3 года,,Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/120113876?query=ML&hhtmFrom=vacancy_search_list,1–3 года,Формат работы: удалённо или гибрид,Уровень дохода не указан,Частичная занятость,"TensorFlow, MoE, LoRa, Mistral, LLaMa, LSTM, FastAPI, Python, PyTorch, HugginFace"
https://hh.ru/vacancy/116463479?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: гибрид,Уровень дохода не указан,Полная занятость,"Docker, Git, CI/CD, Kubernetes, Python, MLflow, DevOps, SQL, NoSQL, Ansible, Terraform, Jenkins, DevSecOps, Hadoop, ELK, GitHub, Gitlab"
https://hh.ru/vacancy/120276604?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: на месте работодателя или гибрид,Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/119900089?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,,Уровень дохода не указан,,
https://hh.ru/vacancy/119842855?query=ML&hhtmFrom=vacancy_search_list,не требуется,,Уровень дохода не указан,Полная занятостьСтажировка,
https://hh.ru/vacancy/115411980?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,,Уровень дохода не указан,Полная занятость,"ML, Машинное обучение, Математическое моделирование, Компьютерное зрение, Python, TensorFlow, Математическая статистика"
https://hh.ru/vacancy/120241527?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,"Формат работы: на месте работодателя, удалённо или гибрид",Уровень дохода не указан,Полная занятость,"Product Management, Машинное обучение, Аналитическое мышление, Опыт работы с ML-командами, Работа с метриками, Приоритизация задач, Agile, Lean, Коммуникация с бизнесом"
https://hh.ru/vacancy/119319367?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,,Уровень дохода не указан,,
https://hh.ru/vacancy/119301331?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо,от 5 000 € за месяц на руки,Полная занятость,"Natural Language Processing, NLP, NLU, Machine Learning, SoTA, RAG, NER, LLM, LoRa"
https://hh.ru/vacancy/120076425?query=ML&hhtmFrom=vacancy_search_list,1–3 года,,Уровень дохода не указан,Полная занятость,"Data Science, Machine Learning, Python, SQL, NLP, Английский — B1 — Средний"
https://hh.ru/vacancy/120221613?query=ML&hhtmFrom=vacancy_search_list,1–3 года,Формат работы: удалённо,Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/120221613?query=ML&hhtmFrom=vacancy_search_list,1–3 года,Формат работы: удалённо,Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/120224315?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,,Уровень дохода не указан,Полная занятость,
https://hh.ru/vacancy/118640768?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,,Уровень дохода не указан,Полная занятость,"Разработка алгоритмов, ML, Python, PyTorch, TensorFlow, FastAPI, Django, Linux, CI/CD, OpenCV, GFS, WRF"
https://hh.ru/vacancy/120275064?query=ML&hhtmFrom=vacancy_search_list,3–6 лет,Формат работы: удалённо или гибрид,Уровень дохода не указан,Полная занятость,
